,valores em euros,valores preditos
16387,0.01,0.24543369
14967,0.03,0.24763715
14971,0.03,0.24543369
8588,0.16,0.24763715
5625,0.32,0.30407545
7996,0.18,0.2502762
13845,0.04,0.24543369
14134,0.04,0.24827757
5846,0.3,0.27442524
11994,0.07,0.24543369
15771,0.02,0.24543369
12190,0.07,0.24543369
2291,0.9,0.7361839
7465,0.21,0.25824806
15476,0.02,0.24543369
13896,0.04,0.24543369
2281,0.91,0.7835239
9037,0.14,0.24543369
10280,0.11,0.24543369
14966,0.03,0.24543369
13308,0.05,0.24543369
12711,0.06,0.24543369
4209,0.46,0.36491036
9129,0.14,0.24543369
7823,0.19,0.24543369
10529,0.1,0.24543369
5419,0.34,0.4724533
7847,0.19,0.24763715
9687,0.12,0.25028855
8281,0.17,0.2462298
15834,0.02,0.24543369
481,2.96,2.5159855
9193,0.14,0.24543369
8452,0.17,0.24543369
5859,0.3,0.3045373
8469,0.16,0.24654084
11003,0.09,0.250551
14812,0.03,0.24543369
5205,0.36,0.35780728
9638,0.13,0.24543369
14387,0.03,0.24543369
2565,0.8,0.5673353
2468,0.84,0.8573079
3933,0.51,0.41076064
3232,0.62,0.5088982
10465,0.1,0.2626761
10568,0.1,0.24543369
13937,0.04,0.24543369
6281,0.27,0.29673684
15988,0.02,0.24543369
5257,0.35,0.35880822
3428,0.58,0.43268734
13331,0.05,0.24543369
12191,0.07,0.24543369
15342,0.02,0.24827757
13395,0.05,0.24543369
13791,0.04,0.24543369
3718,0.54,0.28650692
9063,0.14,0.24543369
13037,0.05,0.24543369
9263,0.14,0.24543369
3503,0.57,0.4542511
67,9.49,7.0108504
14104,0.04,0.24543369
5624,0.32,0.31440583
9257,0.14,0.24543369
9219,0.14,0.2470156
14281,0.03,0.24827757
10427,0.1,0.24543369
9115,0.14,0.24543369
4335,0.45,0.3563743
2610,0.79,0.7425538
13004,0.05,0.24543369
8045,0.18,0.24608004
5421,0.34,0.35780728
12654,0.06,0.24543369
15559,0.02,0.24543369
14676,0.03,0.24543369
3953,0.5,0.50125444
2008,1.03,0.8869548
2430,0.85,0.84654295
4770,0.4,0.36850274
10477,0.1,0.24543369
15601,0.02,0.24543369
4905,0.39,0.31735158
11733,0.08,0.24543369
16064,0.02,0.24543369
2798,0.73,0.6030045
1801,1.14,0.87687147
10979,0.09,0.24543369
4638,0.42,0.3590337
1651,1.21,1.0685912
4845,0.4,0.4001328
1922,1.07,0.98384917
7879,0.19,0.2501394
2037,1.02,1.0144002
3315,0.61,0.46050927
3057,0.66,0.37976107
4101,0.48,0.39676753
7907,0.19,0.28681704
9961,0.12,0.24543369
6359,0.27,0.2655545
12883,0.05,0.24543369
13184,0.05,0.24543369
1137,1.62,1.3210067
3999,0.5,0.5070824
4617,0.42,0.34741598
13221,0.05,0.2786063
11813,0.07,0.24763715
413,3.28,2.7786617
16664,0.01,0.24608004
2917,0.7,0.6814971
5186,0.36,0.26186064
4442,0.44,0.3663568
1500,1.31,1.162066
2080,0.99,0.9245777
4906,0.39,0.3432126
4449,0.44,0.42920202
1338,1.43,1.2464226
3764,0.53,0.46863353
6072,0.29,0.26694238
14575,0.03,0.24763715
8580,0.16,0.24763715
572,2.65,2.1005068
3938,0.5,0.5065879
14665,0.03,0.24543369
1759,1.15,0.9646796
7652,0.2,0.2501394
12457,0.06,0.24608004
6474,0.26,0.2532928
10578,0.1,0.24543369
5885,0.3,0.28117514
7482,0.21,0.24543369
3864,0.52,0.41802147
11653,0.08,0.24543369
864,1.97,1.5444684
8076,0.18,0.24777547
7364,0.21,0.24543369
14171,0.03,0.25059932
4013,0.49,0.38701183
225,4.71,3.8263268
16409,0.01,0.24543369
2401,0.87,0.6414857
5197,0.36,0.27904177
12084,0.07,0.24543369
1933,1.07,0.8691622
16415,0.01,0.24543369
12777,0.06,0.24543369
2181,0.95,0.6437904
15906,0.02,0.24543369
5410,0.34,0.3045373
15334,0.02,0.24543369
10050,0.11,0.24543369
11198,0.09,0.24763715
14121,0.04,0.2694864
11686,0.08,0.24543369
14388,0.03,0.24543369
7990,0.18,0.24543369
15064,0.02,0.24543369
9247,0.14,0.41613275
9454,0.13,0.24543369
13699,0.04,0.24543369
11729,0.08,0.24543369
11219,0.09,0.2470156
8303,0.17,0.25204203
14277,0.03,0.24543369
6853,0.24,0.26857716
11180,0.09,0.24759129
5838,0.3,0.31000048
7646,0.2,0.2471166
1426,1.36,1.1672533
12444,0.06,0.24543369
16143,0.01,0.24543369
8627,0.16,0.2614415
7209,0.22,0.2501394
8010,0.18,0.2532074
4322,0.45,0.40461504
11312,0.08,0.24696094
5199,0.36,0.32949716
9613,0.13,0.24763715
1263,1.5,1.0667746
15793,0.02,0.24543369
11902,0.07,0.24763715
14474,0.03,0.27858472
15202,0.02,0.24575695
5768,0.31,0.33958343
762,2.16,1.8571284
12699,0.06,0.24543369
6610,0.25,0.2462298
8712,0.15,0.250551
9856,0.12,0.24543369
10829,0.09,0.24543369
9787,0.12,0.24543369
12761,0.06,0.24600944
8881,0.15,0.24543369
10929,0.09,0.24759129
16565,0.01,0.24543369
8598,0.16,0.24543369
14858,0.03,0.27836972
12061,0.07,0.24543369
6741,0.25,0.26062602
7505,0.2,0.2588238
12272,0.07,0.24763715
7116,0.23,0.25642598
8551,0.16,0.24543369
12658,0.06,0.24543369
13753,0.04,0.24543369
7488,0.21,0.24543369
16061,0.02,0.24543369
14096,0.04,0.24666831
515,2.83,2.1976967
5446,0.33,0.27315816
918,1.88,1.6409991
11585,0.08,0.24543369
5873,0.3,0.35757464
13975,0.04,0.24543369
2554,0.8,0.61166984
9055,0.14,0.24543369
1208,1.55,1.3516755
7358,0.21,0.2532074
11099,0.09,0.24543369
5668,0.32,0.31255093
5299,0.35,0.3053334
4103,0.48,0.32606578
7688,0.2,0.24666831
14752,0.03,0.24543369
12939,0.05,0.24543369
5765,0.31,0.41498232
13543,0.04,0.24543369
3270,0.61,0.416053
12978,0.05,0.25859895
11260,0.09,0.24763715
14585,0.03,0.24543369
12686,0.06,0.24763715
10501,0.1,0.24543369
8257,0.17,0.24543369
10292,0.11,0.24543369
884,1.94,1.583228
7173,0.22,0.24763715
1903,1.08,0.70298177
3419,0.59,0.50664794
15302,0.02,0.24543369
15267,0.02,0.2470156
4287,0.45,0.40771824
3442,0.58,0.42422694
5887,0.3,0.33958343
7169,0.22,0.25532973
14055,0.04,0.24696094
3926,0.51,0.3437739
16607,0.01,0.24543369
10596,0.1,0.24731466
10404,0.11,0.24543369
10567,0.1,0.24543369
13475,0.05,0.24543369
3889,0.51,0.44404107
12601,0.06,0.24543369
2278,0.91,0.9143262
1802,1.13,0.91040385
1451,1.34,0.96890664
11215,0.09,0.24543369
16314,0.01,0.2470156
4740,0.41,0.31958508
10399,0.11,0.24543369
4381,0.44,0.390006
5088,0.37,0.3261571
9345,0.13,0.24543369
4122,0.48,0.49509868
928,1.87,0.9623461
2,35.52,20.379232
11936,0.07,0.24543369
6945,0.23,0.27442524
13463,0.05,0.24543369
6404,0.27,0.29444396
11241,0.09,0.24543369
8974,0.15,0.24763715
2955,0.69,0.5683045
446,3.11,1.9224861
4610,0.42,0.40034604
12425,0.06,0.24543369
3393,0.59,0.3575351
15713,0.02,0.24543369
381,3.47,2.748155
1232,1.52,1.3099363
15274,0.02,0.24543369
2905,0.7,0.39079246
7632,0.2,0.2471166
3385,0.59,0.43961996
13956,0.04,0.24543369
6301,0.27,0.32603997
4162,0.47,0.43491974
8548,0.16,0.2470156
11848,0.07,0.24666831
13979,0.04,0.24543369
10449,0.1,0.24543369
11331,0.08,0.25166532
10424,0.1,0.24543369
3612,0.56,0.33910406
13161,0.05,0.24543369
16622,0.01,0.24543369
16410,0.01,0.250551
487,2.94,2.3484435
13955,0.04,0.24543369
10822,0.1,0.2470156
5857,0.3,0.25640145
7780,0.19,0.26602167
7361,0.21,0.27549034
6924,0.24,0.24654084
4109,0.48,0.4382329
16709,0.01,0.24543369
7594,0.2,0.2501394
3055,0.66,0.38596055
13535,0.04,0.2470156
2465,0.84,0.61589235
247,4.43,2.6388078
13769,0.04,0.24763715
4603,0.42,0.3166446
5918,0.3,0.2789717
2946,0.69,0.5048613
7167,0.22,0.26433793
14230,0.03,0.24543369
14142,0.03,0.24543369
16148,0.01,0.24575695
9783,0.12,0.24543369
4372,0.45,0.40900505
11764,0.07,0.24543369
5283,0.35,0.30065477
1363,1.41,1.1637057
9568,0.13,0.24543369
9475,0.13,0.24543369
15367,0.02,0.24543369
9573,0.13,0.24543369
14415,0.03,0.24543369
7951,0.19,0.24862778
15192,0.02,0.24543369
3070,0.66,0.51241684
7179,0.22,0.24543369
14214,0.03,0.3025455
8324,0.17,0.24763715
6459,0.26,0.26433793
5562,0.32,0.34499303
13250,0.05,0.24825019
7254,0.22,0.24543369
5124,0.37,0.33585835
5135,0.37,0.3363394
11333,0.08,0.24543369
6642,0.25,0.26403806
10194,0.11,0.24543369
3965,0.5,0.43552724
6777,0.24,0.26431987
6575,0.26,0.2665233
2959,0.69,0.5587962
9280,0.14,0.2639927
2932,0.7,0.40888545
12246,0.07,0.24543369
10453,0.1,0.310165
1283,1.48,1.1806357
14078,0.04,0.24543369
3387,0.59,0.47705284
14709,0.03,0.24575695
15487,0.02,0.24543369
4727,0.41,0.36271554
8477,0.16,0.24696094
490,2.94,2.352245
1624,1.23,0.54555637
2145,0.96,0.9737246
15899,0.02,0.24543369
11472,0.08,0.24543369
12342,0.06,0.24543369
2506,0.82,0.79605293
5047,0.38,0.36602354
445,3.11,2.5985982
518,2.82,2.3752189
4881,0.39,0.402092
6620,0.25,0.24968457
8379,0.17,0.24543369
1557,1.27,1.0262275
14629,0.03,0.24543369
9593,0.13,0.24543369
12783,0.06,0.24666831
11509,0.08,0.24543369
6885,0.24,0.27975667
10518,0.1,0.24543369
11361,0.08,0.24696094
6636,0.25,0.25106007
10107,0.11,0.24543369
12454,0.06,0.24543369
16491,0.01,0.24543369
7210,0.22,0.25824806
14058,0.04,0.24543369
13801,0.04,0.24763715
638,2.43,1.9919113
5253,0.35,0.35947442
4309,0.45,0.41611168
11922,0.07,0.24543369
3371,0.6,0.58051807
4258,0.46,0.35434455
8162,0.18,0.24543369
4259,0.46,0.55461115
14026,0.04,0.24543369
12393,0.06,0.24543369
23,16.27,15.031463
7806,0.19,0.2462298
3806,0.53,0.34509057
7561,0.2,0.24862778
4057,0.49,0.53155684
5955,0.29,0.2506752
14924,0.03,0.24543369
8157,0.18,0.25207007
3644,0.55,0.43652666
1423,1.36,1.2229862
5971,0.29,0.28681704
1126,1.63,1.4298398
3745,0.53,0.33767772
4154,0.47,0.3038005
4613,0.42,0.40034604
10675,0.1,0.24543369
16405,0.01,0.24543369
8289,0.17,0.24543369
14583,0.03,0.2502277
7476,0.21,0.2532928
7417,0.21,0.24543369
12178,0.07,0.24543369
6918,0.24,0.2951296
7310,0.21,0.2838484
15882,0.02,0.24543369
15933,0.02,0.24543369
571,2.65,2.108946
11637,0.08,0.24600944
3724,0.54,0.48757046
15356,0.02,0.2740625
7836,0.19,0.2604515
6073,0.29,0.2471166
8899,0.15,0.24543369
4305,0.45,0.4074232
8271,0.17,0.24600944
8839,0.15,0.2562014
8578,0.16,0.24696094
9432,0.13,0.24543369
5331,0.35,0.2829274
7479,0.21,0.25289991
11590,0.08,0.26049507
9750,0.12,0.24543369
16426,0.01,0.24543369
9693,0.12,0.24825019
14438,0.03,0.24543369
4337,0.45,0.3946089
8147,0.18,0.25028855
2195,0.94,0.78654003
13783,0.04,0.24543369
2906,0.7,0.6038385
12104,0.07,0.24543369
9076,0.14,0.24543369
14702,0.03,0.24543369
16397,0.01,0.24543369
1711,1.18,0.6992375
11622,0.08,0.24543369
6211,0.28,0.2699641
4018,0.49,0.4737578
10958,0.09,0.24543369
14987,0.03,0.24763715
8597,0.16,0.24543369
3105,0.65,0.52687335
2146,0.96,0.85713446
7943,0.19,0.24543369
558,2.69,2.2218838
6060,0.29,0.24543369
5748,0.31,0.30903092
8647,0.16,0.24543369
951,1.83,1.5782422
14491,0.03,0.24543369
8897,0.15,0.24543369
8611,0.16,0.2624605
5946,0.29,0.2659198
1391,1.39,0.62781024
16371,0.01,0.24543369
12474,0.06,0.24666831
9924,0.12,0.25300807
12465,0.06,0.24543369
1531,1.29,1.1319664
15907,0.02,0.24543369
13544,0.04,0.24543369
6909,0.24,0.24654084
15665,0.02,0.24543369
10313,0.11,0.24543369
12825,0.06,0.24543369
12656,0.06,0.24543369
1261,1.5,1.2332045
14489,0.03,0.24543369
13686,0.04,0.24543369
7535,0.2,0.25824806
13272,0.05,0.24543369
6992,0.23,0.25904417
1467,1.33,1.1498517
7405,0.21,0.2501394
16375,0.01,0.24543369
3513,0.57,0.36676782
6027,0.29,0.29865173
5803,0.31,0.36418438
1513,1.3,1.0522287
304,3.96,3.3488472
5029,0.38,0.38338706
4651,0.42,0.31894463
15075,0.02,0.24608004
7451,0.21,0.25977528
6077,0.29,0.27790585
6510,0.26,0.26431987
14844,0.03,0.24543369
11998,0.07,0.24543369
6267,0.27,0.31255093
6253,0.27,0.28711653
6213,0.28,0.27736723
6846,0.24,0.25482005
11547,0.08,0.24945846
14650,0.03,0.27677464
6669,0.25,0.27442524
13458,0.05,0.24543369
730,2.22,1.8886347
11318,0.08,0.24543369
10277,0.11,0.24543369
9580,0.13,0.24543369
10779,0.1,0.24543369
8600,0.16,0.24543369
2200,0.94,0.8300451
3360,0.6,0.46931794
12743,0.06,0.2877676
7186,0.22,0.25565296
1634,1.23,1.0549726
5424,0.34,0.2486313
10859,0.09,0.24543369
11856,0.07,0.24543369
16298,0.01,0.24543369
11893,0.07,0.24543369
2342,0.89,0.77357376
6783,0.24,0.24763715
5909,0.3,0.31291372
14533,0.03,0.24543369
9203,0.14,0.24543369
9512,0.13,0.24543369
15855,0.02,0.24763715
3929,0.51,0.47685
13370,0.05,0.24543369
12638,0.06,0.24666831
6710,0.25,0.25499415
7653,0.2,0.26040566
15717,0.02,0.24543369
734,2.21,1.7900515
16309,0.01,0.24543369
1829,1.12,0.9121839
13627,0.04,0.24543369
1477,1.33,1.1651449
15268,0.02,0.24763715
7722,0.19,0.24763715
15722,0.02,0.24543369
5061,0.38,0.36602354
2853,0.72,0.35493976
4319,0.45,0.3563743
10577,0.1,0.2614415
11708,0.08,0.24543369
6136,0.28,0.29534417
15353,0.02,0.24543369
15120,0.02,0.24543369
7659,0.2,0.26040566
14778,0.03,0.24543369
66,9.71,8.2423725
814,2.07,1.6214905
1207,1.55,1.3035609
11928,0.07,0.24696094
8232,0.17,0.24543369
11851,0.07,0.24543369
13414,0.05,0.2628035
2842,0.72,0.4276259
15887,0.02,0.24543369
16530,0.01,0.24543369
16313,0.01,0.24543369
353,3.61,2.8449967
8609,0.16,0.24543369
6288,0.27,0.25011545
798,2.09,0.93948144
3741,0.54,0.4373182
924,1.87,1.5270832
12201,0.07,0.24543369
6722,0.25,0.27442524
7919,0.19,0.25824806
16701,0.01,0.24543369
7349,0.21,0.2607993
3904,0.51,0.36480576
8724,0.15,0.2793411
8950,0.15,0.24543369
9639,0.13,0.24543369
14073,0.04,0.24600944
8208,0.17,0.24666831
14974,0.03,0.24543369
12692,0.06,0.24543369
414,3.27,2.5601652
1469,1.33,1.0362995
15393,0.02,0.24543369
13569,0.04,0.24543369
14545,0.03,0.24543369
1896,1.08,0.93823445
6162,0.28,0.2643201
1608,1.24,0.67504144
9814,0.12,0.24543369
11853,0.07,0.2643538
9957,0.12,0.24748099
4466,0.43,0.31459826
15773,0.02,0.24543369
10891,0.09,0.25609583
13248,0.05,0.24543369
704,2.27,1.8931826
12003,0.07,0.24666831
8933,0.15,0.24543369
1787,1.14,0.5577107
1788,1.14,0.8154502
536,2.78,2.4507542
12157,0.07,0.24543369
1026,1.74,1.5377645
2642,0.77,0.7482168
10436,0.1,0.24543369
15982,0.02,0.24543369
3945,0.5,0.4111924
14283,0.03,0.24543369
5733,0.31,0.24763715
15331,0.02,0.24543369
5195,0.36,0.29801464
3783,0.53,0.29603827
3690,0.54,0.55444574
10933,0.09,0.24543369
2793,0.73,0.41330934
14354,0.03,0.24543369
6115,0.28,0.26491368
10802,0.1,0.24543369
7426,0.21,0.28696677
12262,0.07,0.24608004
2704,0.76,0.6477606
5382,0.34,0.32385933
5511,0.33,0.2818156
5501,0.33,0.3057594
2843,0.72,0.6056459
16467,0.01,0.2470156
43,12.13,7.706805
8489,0.16,0.24543369
7904,0.19,0.24798498
15532,0.02,0.24543369
542,2.77,2.2408051
7328,0.21,0.2462298
3725,0.54,0.43415892
2691,0.76,0.440225
7478,0.21,0.24543369
13635,0.04,0.24543369
8081,0.18,0.25824806
267,4.23,3.4938803
418,3.25,2.3380914
15627,0.02,0.24543369
8467,0.16,0.24543369
16562,0.01,0.24543369
7242,0.22,0.25532973
3172,0.63,0.46998617
5427,0.34,0.29980242
6604,0.25,0.2532928
11988,0.07,0.24543369
10573,0.1,0.24748099
4285,0.45,0.33272427
2081,0.99,0.64313984
14471,0.03,0.24543369
4288,0.45,0.28899854
16293,0.01,0.24543369
15744,0.02,0.24543369
6317,0.27,0.25361606
7062,0.23,0.2628035
5518,0.33,0.2789717
15101,0.02,0.24543369
13730,0.04,0.24543369
10959,0.09,0.24543369
2796,0.73,0.43425354
7616,0.2,0.2614415
13639,0.04,0.24543369
1785,1.14,0.9534833
2586,0.79,0.47437847
13251,0.05,0.24995297
15511,0.02,0.24543369
16034,0.02,0.24543369
7280,0.22,0.24654084
5892,0.3,0.25977528
6570,0.26,0.2602954
10104,0.11,0.24543369
15920,0.02,0.24543369
8444,0.17,0.24654084
3801,0.53,0.4286173
15915,0.02,0.24543369
1350,1.42,1.2543331
132,6.4,4.294009
11478,0.08,0.24543369
2471,0.84,0.7253645
16599,0.01,0.24543369
9870,0.12,0.24543369
14740,0.03,0.24608004
8020,0.18,0.2532074
10526,0.1,0.24543369
11188,0.09,0.2851876
15584,0.02,0.28805396
8999,0.14,0.24543369
1825,1.12,0.9908474
1535,1.28,1.1739185
3934,0.51,0.4236082
15194,0.02,0.2614415
11017,0.09,0.24543369
5815,0.31,0.28836775
6724,0.25,0.28899854
2947,0.69,0.5338067
14006,0.04,0.24543369
2788,0.73,0.39518625
6082,0.29,0.29278782
3966,0.5,0.43831375
3065,0.66,0.53337586
5408,0.34,0.29413667
15493,0.02,0.24543369
9560,0.13,0.25675374
7803,0.19,0.24543369
11805,0.07,0.24543369
667,2.37,2.0229669
2163,0.95,0.76575
15649,0.02,0.2470156
2428,0.85,0.88727677
15927,0.02,0.24543369
9691,0.12,0.24543369
11492,0.08,0.24543369
3195,0.63,0.49989623
1096,1.67,1.4375815
676,2.34,1.9133734
15580,0.02,0.24543369
8993,0.14,0.24543369
3942,0.5,0.50617844
14531,0.03,0.24543369
11679,0.08,0.24543369
5969,0.29,0.29250264
1999,1.03,0.8704347
4921,0.39,0.37356117
11938,0.07,0.24543369
14728,0.03,0.24543369
5666,0.32,0.3426817
364,3.54,3.1109352
664,2.37,2.0659292
5307,0.35,0.30836037
8906,0.15,0.24543369
4794,0.4,0.36602354
3152,0.64,0.47443962
3738,0.54,0.43891755
11290,0.08,0.24543369
13425,0.05,0.24543369
897,1.92,1.3279176
3265,0.62,0.49069196
14558,0.03,0.24543369
12522,0.06,0.24543369
10549,0.1,0.24543369
15826,0.02,0.24543369
1873,1.09,0.6431423
7956,0.19,0.29946047
1833,1.12,0.98941797
2680,0.76,0.8233533
11233,0.09,0.24666831
6667,0.25,0.26433793
5990,0.29,0.33619034
5513,0.33,0.2952401
1532,1.29,1.0470107
5966,0.29,0.2532928
15226,0.02,0.24543369
214,4.88,3.7558606
14605,0.03,0.24543369
15642,0.02,0.24543369
1726,1.17,0.93271965
14514,0.03,0.24543369
16237,0.01,0.24543369
2885,0.71,0.75199354
13053,0.05,0.24543369
5514,0.33,0.28198755
2768,0.74,0.6125463
7989,0.18,0.24543369
320,3.84,3.0691977
12879,0.05,0.24543369
12804,0.06,0.24543369
2454,0.84,0.48431936
14405,0.03,0.24543369
3873,0.52,0.41518843
5177,0.36,0.31608698
960,1.82,1.5560874
7273,0.22,0.24763715
167,5.46,3.9460766
16080,0.02,0.24543369
3007,0.67,0.37199587
13132,0.05,0.24763715
9863,0.12,0.24543369
3185,0.63,0.50640064
4606,0.42,0.35405028
15893,0.02,0.24543369
969,1.81,1.6419808
15381,0.02,0.24543369
7384,0.21,0.26816684
2263,0.91,0.80858636
9262,0.14,0.24543369
14906,0.03,0.2556759
3427,0.58,0.5010814
5535,0.33,0.30518365
6851,0.24,0.25549626
5641,0.32,0.28899854
3101,0.65,0.38778323
